time,strain,pore_pressure,vibration,rainfall,temperature,risk
0,-0.006751782749743815,-8.542323636375722,0.6636233061595189,9.967141530112327,22.798710873172006,1
1,-0.00044518670715517836,-2.9434752020574613,0.08927178086526871,3.6173569882881536,24.437457816850742,1
2,-0.005924199209999613,0.43811072283251873,3.592166260009256,11.476885381006925,25.11926073984035,1
3,-7.961529639040257e-05,13.967606533049718,0.7298328070248494,20.230298564080254,25.77719425645433,1
4,-0.014936146669537857,7.577780494294221,0.9524005241928168,2.6584662527666403,30.056700665071567,0
5,0.007132937073729386,-1.6165299308232068,0.26998595340795933,2.6586304305081945,30.44622903373418,1
6,0.006012054753622243,9.570272177271827,0.6606762829884718,20.792128155073915,31.790386440055464,1
7,-0.0011708863106819059,0.6710055146447234,0.5606279108861615,12.674347291529088,30.92960186625462,1
8,0.01459245668432405,13.851506342836966,0.07784894456788227,0.3052561406504788,30.75935946848306,1
9,0.018375701376265586,7.124987857898171,0.11222888628088813,10.425600435859646,26.00059738874434,0
10,-0.00607559864368974,9.049012480479247,1.816908181471525,0.36582307187537744,27.63478813126865,1
11,0.003372752214337857,16.180446908315794,0.2741999687679879,0.3427024642974317,22.98338966041001,1
12,0.004308576502127018,3.8576080992496298,0.21686116625938234,7.419622715660341,24.15052174525053,0
13,0.003600968988911355,4.721115261263721,0.7030186460483493,14.13280244657798,16.033433912795655,1
14,0.022294748419317487,10.013627387611685,1.46424349774768,12.249178325130327,18.471927606330503,1
15,0.013061738612271964,18.185805803679266,0.06394831516097645,0.6228752924097272,13.324753755059824,0
16,0.013354851586893892,5.910012291532892,0.8599291123141335,5.1283112033442375,10.03690995492672,1
17,-0.0030386236440675327,0.16021201095953508,0.12693654972997867,8.14247332595274,9.372970069000674,0
18,0.024354180302092264,12.473219784988597,0.03714236726975136,4.08024075521211,9.35930538361136,0
19,0.006607416051465274,18.400021777923484,0.05418584447695962,9.123037013352915,11.189073629913148,0
20,0.020599326302663284,23.608275295984583,1.796756583281812,19.65648768921554,12.385416938226614,1
21,0.023773769379581918,15.565383436376909,0.12553202576137343,2.7422369951346433,11.781532180257365,0
22,0.035606585958386505,16.391585415911813,0.04620244783014457,5.675282046879238,14.95129081547803,0
23,0.009911796008808878,25.14297030898402,0.5760753081965301,9.247481862134567,21.69635026619851,1
24,-0.006195121558208252,10.069140863753363,1.8578574260826592,0.4438272452518266,23.45508634020142,1
25,0.02683849544753695,18.086168076025288,0.3043649632159809,6.109225897098661,23.460837790373276,0
26,0.044005111815108536,21.631884978987927,0.5476843323612204,6.5099357742230275,25.0760069563364,0
27,0.039389463529394375,23.801557154133477,0.04074130252984888,8.756980183456719,27.311130465301996,0
28,0.030096594152746257,19.1070687716727,0.5961629738751385,1.0063868991880494,29.887289983305216,0
29,0.024083638143679528,22.036613546363043,0.8618335144870424,2.083062502067232,27.61367313249387,0
30,0.03807122596637311,9.524478332998287,0.8460817256006494,1.0170661222939694,29.48524692515331,0
31,0.021264538002955313,21.027151222902933,0.4041060702801168,23.522781845089376,26.322090115135506,1
32,0.03676357769356219,27.072439622606574,0.3791151097355419,4.8650277526206605,29.45870028305495,0
33,0.03805470159166627,20.451136817516744,0.11274730754879739,5.577109289559004,28.365459691270953,0
34,0.0446020990749888,26.980073008841313,0.4569662988092903,13.22544912103189,24.033627075401252,1
35,0.06259660038911077,29.64035805487784,0.10479919419815874,7.208436499710222,25.736163977605276,0
36,0.039924159671787675,26.40211314158028,1.4549841844393696,7.0886359500475535,17.54846867399532,1
37,0.03191036374292501,30.426848124731737,3.389495054219591,14.596701238797756,14.483059788555158,1
38,0.03774425687808006,25.58905249222425,3.5090428712019044,8.281860488984305,15.448903637119951,1
39,0.021309240951108817,30.066520156036205,2.0030073013188274,6.968612358691235,15.023128793358843,1
40,0.03305286868910942,35.38912398245796,0.918273068755283,12.384665799954105,14.70760134507135,1
41,0.03690717561886896,33.79427622054399,1.206862633342097,6.713682811899705,9.422973211371442,1
42,0.03675911602065408,30.461106785493907,0.33576061363750065,3.8435171761175946,12.157361666862592,0
43,0.044523548720337223,34.71374145917826,0.9963366608537274,1.9889630441071122,10.263724798107901,1
44,0.03577580067617799,38.14423038127481,0.6081620289523006,9.785219903674275,10.994491362273969,1
45,0.05621030667324471,24.541319243599034,0.6578135117557793,2.1984420839470866,14.696252063107872,0
46,0.04600207064918197,40.62575719030613,1.4178946745737333,0.39361229040212464,16.304645756826826,1
47,0.046906996788613854,34.7062353983402,0.33117200553116594,15.571222262189156,14.259025235006291,1
48,0.04472105283487082,39.35857704751517,0.38278370448899895,8.436182895684613,22.95308069945179,1
49,0.050551906838589795,44.4804021549029,2.585502416627013,12.63040155362734,25.3483731593201,1
50,0.05825098264667635,32.45988301991922,0.05786674154582667,8.240839693947951,23.748874596980947,0
51,0.042328697842891,35.885964213517504,0.6648207848239704,1.1491771958368346,27.862674878740282,0
52,0.045418835109247435,38.16734774658268,2.43956012709857,1.769220003059587,29.648314410409867,1
53,0.049962739712233355,36.802999909179924,0.9425397625891,11.11676288840868,30.180605794538494,1
54,0.04054129076526785,50.927449916482054,0.7905551223959676,15.30999522495951,28.89938969230916,1
55,0.04680742140278502,39.400186687280254,0.2873410362503778,14.312801191161986,28.316011527014577,1
56,0.05123779126455341,41.24553078220252,0.42049066207859354,3.3921752322263856,28.609145895861502,0
57,0.06574389180712728,45.23599746180052,1.9108701925534537,1.907876241487854,29.416525850384215,1
